preference_key,movie_title,star_cast,rating,year,place,vote,link
4,op Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.463012197553102,2022,43 ,,/title/tt1745960/
1,asablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.465562124235175,1942,42 ,,/title/tt0034583/
2,l gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.468045787238886,2006,41 ,,/title/tt0482571/
3,os infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.475050364066009,2006,40 ,,/title/tt0407887/
4,ospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.476354304967902,1995,39 ,,/title/tt0114814/
1,istoria americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.484518803994556,1998,38 ,,/title/tt0120586/
2,ladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.485389373059752,2000,37 ,,/title/tt0172495/
3,l rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.488440309107979,1994,36 ,,/title/tt0110357/
4,arásitos,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee",8.495558499383675,2019,35 ,,/title/tt6751668/
1,l perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.50068198197428,1994,34 ,,/title/tt0110413/
2,l pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.504531389022949,2002,33 ,,/title/tt0253474/
3,sicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508809858000292,1960,32 ,,/title/tt0054215/
4,l viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515394725307477,2001,31 ,,/title/tt0245429/
1,olver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.518151974672781,1985,30 ,,/title/tt0088763/
2,erminator 2: juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.535071910399335,1991,29 ,,/title/tt0103064/
3,a guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.554238947085976,1977,28 ,,/title/tt0076759/
4,nterestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.555456213400099,2014,27 ,,/title/tt0816692/
1,ilagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.55978698467545,1999,26 ,,/title/tt0120689/
2,a vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.566008900920723,1997,25 ,,/title/tt0118799/
3,escatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.577780593676358,1998,24 ,,/title/tt0120815/
4,iudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.57887286359395,2002,23 ,,/title/tt0317248/
1,l silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.587974305506359,1991,22 ,,/title/tt0102926/
2,Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.596958109945783,1946,21 ,,/title/tt0038650/
3,os siete samurais,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.599015339956823,1954,20 ,,/title/tt0047478/
4,"even, los siete pecados capitales","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604001161493184,1995,19 ,,/title/tt0114369/
1,trapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.641192424144144,1975,18 ,,/title/tt0073486/
2,uenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.651598945047777,1990,17 ,,/title/tt0099685/
3,atrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.671112240876786,1999,16 ,,/title/tt0133093/
4,l imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.701788006344492,1980,15 ,,/title/tt0080684/
1,l señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.727871525317015,2002,14 ,,/title/tt0167261/
2,l origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.73291327999449,2010,13 ,,/title/tt1375666/
3,l club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.750020021231967,1999,12 ,,/title/tt0137523/
4,orrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767312398036895,1994,11 ,,/title/tt0109830/
1,"l bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.793657026702778,1966,10 ,,/title/tt0060196/
2, señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.803651331496084,2001,9 E,,/title/tt0120737/
3,empos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.850696960214878,1994,8 T,,/title/tt0110912/
4, señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.92113959525497,2003,7 E,,/title/tt0167260/
1, lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.935285889893784,1993,6 L,,/title/tt0108052/
2, hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.94756945204097,1957,5 1,,/title/tt0050083/
3, padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.984046487370506,1974,4 E,,/title/tt0071562/
4,tman: El Caballero de la Noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.985516878054788,2008,3 B,,/title/tt0468569/
1, padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155890028220352,1972,2 E,,/title/tt0068646/
2,eño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.233866662931968,1994,1 S,,/title/tt0111161/
